recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
4,1,4,445975878,0.5,1,1
6,4,5,1019038148,0.5,1,1
9,0,4,1991948354,0.5,1,1
2,2,7,973,0.5,1,1
5,1,7,821459744,0.5,1,1
6,0,8,979655734,0.5,1,1
6,3,3,39021707,0.5,1,1
8,3,3,80524421,0.5,1,1
9,1,5,688020399,0.5,1,1
9,2,5,555013701,0.5,1,1
4,2,7,445975878,0.5,1,1
5,5,4,1019038148,0.5,1,1
9,3,3,1991948354,0.5,1,1
4,5,3,973,0.5,1,1
6,0,5,821459744,0.5,1,1
10,3,6,979655734,0.5,1,1
8,2,3,39021707,0.5,1,1
10,6,2,80524421,0.5,1,1
3,1,8,688020399,0.5,1,1
11,1,6,555013701,0.5,1,1
6,1,7,445975878,0.5,1,1
9,1,4,1019038148,0.5,1,1
9,6,3,1991948354,0.5,1,1
6,2,7,973,0.5,1,1
4,2,6,821459744,0.5,1,1
10,5,3,979655734,0.5,1,1
6,3,3,39021707,0.5,1,1
10,1,3,80524421,0.5,1,1
7,2,6,688020399,0.5,1,1
7,2,6,555013701,0.5,1,1
5,3,5,445975878,0.5,1,1
7,1,7,1019038148,0.5,1,1
10,2,6,1991948354,0.5,1,1
5,1,8,973,0.5,1,1
4,1,5,821459744,0.5,1,1
7,0,8,979655734,0.5,1,1
6,3,3,39021707,0.5,1,1
10,1,3,80524421,0.5,1,1
7,2,6,688020399,0.5,1,1
8,1,8,555013701,0.5,1,1
5,3,5,445975878,0.5,1,1
8,1,7,1019038148,0.5,1,1
10,3,5,1991948354,0.5,1,1
3,5,2,973,0.5,1,1
4,1,5,821459744,0.5,1,1
9,0,8,979655734,0.5,1,1
6,2,3,39021707,0.5,1,1
12,0,4,80524421,0.5,1,1
5,1,6,688020399,0.5,1,1
9,2,7,555013701,0.5,1,1
6,4,4,445975878,0.5,1,1
4,3,6,1019038148,0.5,1,1
9,5,4,1991948354,0.5,1,1
2,2,7,973,0.5,1,1
4,2,4,821459744,0.5,1,1
4,0,8,979655734,0.5,1,1
6,2,4,39021707,0.5,1,1
9,1,4,80524421,0.5,1,1
5,1,5,688020399,0.5,1,1
7,1,5,555013701,0.5,1,1
6,1,4,445975878,0.5,1,1
4,2,6,1019038148,0.5,1,1
9,5,3,1991948354,0.5,1,1
3,3,4,973,0.5,1,1
4,2,6,821459744,0.5,1,1
7,0,9,979655734,0.5,1,1
6,2,3,39021707,0.5,1,1
12,0,4,80524421,0.5,1,1
5,1,5,688020399,0.5,1,1
9,2,7,555013701,0.5,1,1
6,4,4,445975878,0.5,1,1
4,3,6,1019038148,0.5,1,1
9,5,4,1991948354,0.5,1,1
2,2,6,973,0.5,1,1
3,1,4,821459744,0.5,1,1
5,4,5,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
11,1,1,80524421,0.5,1,1
4,1,5,688020399,0.5,1,1
5,1,6,555013701,0.5,1,1
6,1,3,445975878,0.5,1,1
6,0,7,1019038148,0.5,1,1
10,4,2,1991948354,0.5,1,1
8,0,0,1173,0.5,1,1.1
5,0,1,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
8,0,0,871759410,0.5,1,1.1
8,0,0,1173,0.5,1,1.1
5,0,1,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
8,0,0,871759410,0.5,1,1.1
8,0,0,1173,0.5,1,1.1
5,0,1,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
8,0,0,871759410,0.5,1,1.1
8,0,0,1173,0.5,1,1.1
8,0,0,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
10,1,0,1525782637,0.5,1,1.1
8,0,0,871759410,0.5,1,1.1
8,1,0,1173,0.5,1,1.1
5,0,1,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
